L=1,N=4
10,1.20871e+08
1,3.10484
0.1,0.00278465
0.01,0.000619806
0.001,0.00684229
0.0001,0.0688314
1e-05,0.810313
1e-06,7.77214
1e-07,85.4966
1e-08,831.747
1e-09,8341.93
1e-10,83443.8
1e-11,834462
1e-12,8.34465e+06
1e-13,8.34465e+07
1e-14,8.34465e+08
1e-15,8.34465e+09
