L=2,N=4
10,1.20875e+07
1,3.17386
0.1,0.0278234
0.01,0.0592949
0.001,6.34162
0.0001,641.012
1e-05,66754.5
1e-06,6.19888e+06
1e-07,6.91414e+08
1e-08,6.4373e+10
1e-09,6.4373e+12
1e-10,6.4373e+14
1e-11,6.4373e+16
1e-12,6.4373e+18
1e-13,6.4373e+20
1e-14,6.4373e+22
1e-15,6.4373e+24
