L=2,N=3
10,1.3187e+07
1,5.30743
0.1,0.288606
0.01,0.0473739
0.001,2.05009
0.0001,164.175
1e-05,19070.8
1e-06,1.66893e+06
1e-07,2.14577e+08
1e-08,2.14577e+10
1e-09,1.90735e+12
1e-10,1.90735e+14
1e-11,1.90735e+16
1e-12,1.90735e+18
1e-13,1.90735e+20
1e-14,1.90735e+22
1e-15,1.90735e+24
