L=1,N=5
10,3.00103e+12
1,5.59199
0.1,0.00041715
0.01,0.000953592
0.001,0.00874964
0.0001,0.0855207
1e-05,0.762629
1e-06,10.8716
1e-07,66.4231
1e-08,807.905
1e-09,9772.44
1e-10,97748.9
1e-11,977514
1e-12,9.77516e+06
1e-13,9.77516e+07
1e-14,9.77516e+08
1e-15,9.77516e+09
